build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,lazy_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","4096","0","16384","2026-09-24T20:43:13Z","463555245","907294","8836.072701","17.294420"
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","0","128","16384","2026-09-24T20:43:16Z","575100432","5355085","222.579469","2.072522"
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,lazy_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","4096","0","16384","2026-09-24T20:43:19Z","465114635","464091","8806.435484","8.768059"
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","0","128","16384","2026-09-24T20:43:23Z","553090854","4886446","231.435748","2.044641"
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,lazy_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","4096","0","16384","2026-09-24T20:43:26Z","466131132","690027","8787.236453","12.995269"
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","0","128","16384","2026-09-24T20:43:29Z","575725131","5918216","222.340065","2.285527"
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,lazy_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","4096","0","16384","2026-09-24T20:43:32Z","466607608","1127754","8778.279422","21.216426"
"c4085c8f8","11157","AMD Ryzen 7 5700X 8-Core Processor","AMD Radeon RX 9070","ROCm","models/q4exp-4l.gguf","qwen4exp ?B (guessed) all F32","12757151360","19733269920","2048","512","8","0x0","0","50","f16","f16","99","0","tensor","0","0","1","auto","0.00","none","auto","on-direct","0","0","0","0","0","0","128","16384","2026-09-24T20:43:36Z","552861776","4971918","231.531970","2.082134"
